Gridcode,LON,LAT,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren,sand,BD,PH,OC
100060199,123.4097549,53.08726933,1663.6,15.97,-24.69,99.83,303.43,16.93,0.7575,0.2325,0,0,0.01,1.562,770.882,5.564,113.938
100060200,123.6954445,53.06196632,1657.16,16.11,-24.36,99.43,305.92,17.37,0.85,0.1375,0,0,0.0125,1.539,747.752,5.532,113.179
100060201,123.9809144,53.03614512,1666.78,16.37,-24.32,99.11,304.79,18.49,0.7575,0.2,0.0075,0,0.035,1.659,758.61,5.663,116.508
100060202,124.2661559,53.00977337,1672.01,16.54,-24.3,98.48,305.31,18.35,0.7375,0.155,0.015,0,0.0925,1.541,755.26,5.682,110.791
100060203,124.5511549,52.9828939,1671.51,16.73,-24.12,98.35,304.04,17.95,0.725,0.22,0.0025,0,0.0525,1.585,760.782,5.766,110.939
100060204,124.8359125,52.95549227,1659.88,16.86,-23.69,97.79,306.31,17.51,0.8875,0.1075,0,0,0.005,1.542,732.689,5.738,109.648
100060205,125.1204245,52.92756946,1663.65,17.14,-23.49,96.57,306.05,18.55,0.895,0.09,0,0,0.015,1.6,777.85,5.829,102.942
100060206,125.4046863,52.89912647,1680.39,17.44,-23.59,95.44,304.81,19.64,0.8825,0.075,0.0025,0,0.04,1.723,818.082,5.88,94.864
100060207,125.6706786,52.85747652,1686.31,17.66,-23.53,95.14,302.48,19.52,0.9375,0.023,0.0099,0,0.0263,1.646,827.278,5.928,90.302
100070190,120.8030138,53.10283325,1657.26,15.35,-25.08,109.04,289.32,10.85,0.955,0.0423,0,0,0.0026,1.868,780.443,5.721,117.54
100070191,121.084283,53.08577376,1599.37,15.06,-23.95,106.96,296.41,11.14,0.94,0.06,0,0,0,1.785,783.213,5.698,132.561
100070192,121.3708232,53.06478754,1666.29,15.61,-25.04,106.98,290.51,10.86,0.9875,0.01,0,0,0.0025,1.679,799.515,5.743,120.992
100070193,121.6571751,53.04329841,1630.88,15.19,-24.59,105.45,299.6,11.79,0.995,0.005,0,0,0,1.644,750.062,5.62,125.891
100070194,121.9433242,53.02122752,1673.21,15.4,-25.46,103.35,298.52,13.83,0.885,0.0525,0.0125,0,0.05,1.795,796.428,5.692,115.747
100070195,122.2292846,52.99865403,1716.34,15.69,-26.3,102.84,295.43,14.91,0.73,0.155,0.015,0,0.1,1.724,800.548,5.695,108.964
100070196,122.5150369,52.9755539,1746.14,16.03,-26.81,101.87,292.77,15.63,0.655,0.16,0.065,0.0075,0.1125,1.627,805.738,5.801,105.351
100070197,122.8005809,52.95192732,1722.51,15.74,-26.51,101.61,300.82,15.33,0.5325,0.2975,0.06,0.0425,0.0675,1.564,796.121,5.585,110.303
100070198,123.085912,52.92777516,1706.89,15.6,-26.25,101.38,306.68,15.9,0.595,0.3525,0.025,0.01,0.0175,1.668,790.68,5.508,112.774
100070199,123.3710259,52.90309827,1660.02,15.34,-25.33,100.82,315.22,16.08,0.6825,0.2925,0.0025,0.005,0.0175,1.622,768.738,5.395,114.398
100070200,123.6559254,52.87790943,1621.77,15.66,-23.99,100.81,314.7,16.22,0.9625,0.0375,0,0,0,1.635,723.875,5.492,118.992
100070201,123.9405841,52.85217387,1661.24,16.31,-24.27,99.56,308.37,17.92,0.78,0.1225,0.02,0.0275,0.05,1.647,766.772,5.735,120.214
100070202,124.2250196,52.82592816,1667.93,16.35,-24.44,99.27,310.2,17.82,0.6775,0.2875,0.01,0,0.025,1.615,771.073,5.652,113.404
100070203,124.5092202,52.79916136,1654.73,16.43,-24.05,99.09,311.48,17.83,0.84,0.13,0,0,0.03,1.586,766.379,5.67,113.115
100070204,124.7931814,52.77187441,1618.35,16.13,-23.48,98.75,318.66,18.02,0.8125,0.18,0,0,0.0075,1.488,726.683,5.546,113.471
100070205,125.076899,52.74406827,1642.96,16.86,-23.3,97.45,309.83,18.56,0.89,0.0675,0.0075,0,0.035,1.701,794.423,5.828,105.032
100070206,125.3603687,52.71574392,1667.73,17.19,-23.59,96.29,307.68,19.36,0.8775,0.065,0.0025,0,0.055,1.728,810.926,5.857,99.171
100070207,125.6435953,52.68693447,1674.88,17.33,-23.65,96.35,307.93,19.26,0.9125,0.0325,0,0,0.055,1.623,862.941,5.941,83.706
100070208,125.9021371,52.66109662,1675.84,17.59,-23.4,95.38,304.52,19.89,0.9082,0.0127,0.0032,0,0.0759,1.657,831.026,5.966,80.143
100080189,120.4992559,52.92971138,1636.61,15.21,-24.77,108.71,290.58,11.12,0.9783,0.0217,0,0,0,1.699,782.961,5.797,131.552
100080190,120.7663304,52.92144023,1622.62,14.78,-24.82,108.19,300.22,11.08,0.96,0.035,0,0,0.005,1.769,783.577,5.701,126.89
100080191,121.0522405,52.90107096,1622.79,14.73,-24.9,107.45,303.86,11.02,0.955,0.0375,0,0,0.0075,1.799,792.873,5.614,122.87
100080192,121.3379666,52.88017339,1628.27,15.11,-24.7,107.58,301.44,10.92,0.935,0.0475,0,0,0.0175,1.785,779.483,5.645,124.439
100080193,121.623513,52.85877066,1599.45,14.72,-24.36,104.91,309.32,12.98,0.9075,0.0625,0,0,0.03,1.775,747.225,5.492,128.899
100080194,121.9088488,52.83679638,1670.36,15.35,-25.51,104.01,302.23,13.61,0.915,0.07,0.0025,0,0.0125,1.844,769.605,5.536,113.7
100080195,122.1939958,52.81431849,1715.04,15.59,-26.4,102.72,299.23,14.25,0.905,0.085,0,0,0.01,1.687,770.97,5.575,113.445
100080196,122.4789408,52.79131541,1686.34,15.34,-25.98,102.05,306.54,14.43,0.875,0.11,0,0,0.015,1.583,763.869,5.493,115.738
100080197,122.7636792,52.76778797,1689.88,15.37,-26.1,101.88,310.38,15.1,0.82,0.1725,0,0,0.0075,1.695,767.682,5.445,114.819
100080198,123.0482067,52.743737,1666.37,15.29,-25.58,101.47,314.75,15.73,0.8925,0.09,0,0,0.0175,1.742,773.086,5.474,113.454
100080199,123.3325138,52.71916385,1651.62,14.95,-25.58,101.03,324.72,15.86,0.805,0.1575,0,0,0.0375,1.618,738.534,5.301,128.051
100080200,123.6166087,52.69408366,1582.95,15.35,-23.38,102.11,322.73,14.45,0.9275,0.06,0,0,0.0125,1.78,711.838,5.52,132.442
100080201,123.9004789,52.66845154,1632.47,16.02,-23.92,100.92,316.04,15.36,0.9625,0.035,0,0,0.0025,1.694,729.237,5.503,120.537
100080202,124.1841183,52.64231515,1602.06,15.39,-23.87,100.85,327.48,15.89,0.8925,0.1,0,0,0.0075,1.6,727.69,5.321,126.809
100080203,124.4675248,52.61565966,1591.75,15.92,-23.03,100.45,321.44,16.2,0.9925,0.0075,0,0,0,1.575,726.861,5.608,126.045
100080204,124.7506939,52.58848599,1617.75,16.25,-23.33,99.24,318.05,17.19,0.905,0.0875,0,0,0.0075,1.602,731.903,5.685,121.701
100080205,125.0336215,52.56079511,1640.62,16.84,-23.29,97.85,312.01,17.87,0.89,0.055,0.01,0,0.045,1.819,791.514,5.796,109.042
100080206,125.3163033,52.53258797,1648.96,17.11,-23.22,97.33,310.23,18.57,0.885,0.0225,0.0275,0.02,0.045,1.865,826.06,5.845,102.945
100080207,125.598732,52.50388246,1668.02,17.36,-23.46,96.83,306.93,19.03,0.7925,0.025,0.035,0.0125,0.135,1.804,881.584,5.933,101.615
100080208,125.8809129,52.47464376,1677.39,17.57,-23.48,95.94,305.77,19.71,0.7525,0.0325,0.1,0,0.115,1.691,888.121,5.977,96.809
100080209,126.1439946,52.43530835,1675.6,17.72,-23.28,96.41,307.44,18.88,0.8643,0,0.0265,0,0.1091,1.661,884.918,5.994,93.752
100090188,120.1935941,52.75697466,1657.45,15.34,-25.23,109,283.71,11.48,0.9594,0.0148,0,0,0.0258,1.721,786.352,5.806,129.581
100090189,120.450006,52.75664947,1602.78,14.87,-24.3,109.3,296.32,10.9,0.975,0.0075,0,0,0.0175,1.778,772.024,5.745,134.673
100090190,120.7352829,52.73689257,1663.74,15.04,-25.62,108.49,297.62,11.24,0.9625,0.01,0,0,0.0275,1.824,794.681,5.725,125.79
100090191,121.0203819,52.71660875,1650.42,14.83,-25.55,108.43,304.69,10.81,0.96,0.0175,0,0,0.0225,1.749,802.712,5.645,119.491
100090192,121.3053013,52.69580992,1625.69,13.87,-26,105.75,323.08,13.1,0.65,0.205,0,0,0.145,2.005,745.131,5.367,122.782
100090193,121.5900243,52.67447096,1627.68,14.49,-25.38,104.69,314.81,13.97,0.89,0.075,0,0,0.035,1.945,756.834,5.482,125.457
100090194,121.8745666,52.65260311,1684.8,15.2,-26.08,104.25,307.09,13.47,0.8575,0.075,0,0,0.0675,1.815,763.726,5.55,115.783
100090195,122.1589091,52.63021904,1653.2,14.96,-25.55,103.64,312.81,13.6,0.945,0.05,0,0,0.005,1.685,753.955,5.433,121.423
100090196,122.4430512,52.60731185,1667.28,14.93,-25.99,102.67,316.59,14.9,0.8825,0.0975,0,0,0.02,1.746,770.548,5.36,120.843
100090197,122.7269886,52.58388234,1678.72,15.09,-26.18,102.41,317.55,15,0.885,0.1075,0,0,0.0075,1.752,776.718,5.438,114.171
100090198,123.0107168,52.55993133,1633.9,14.79,-25.32,101.85,325.19,15.83,0.82,0.17,0,0,0.01,1.848,750.312,5.386,126.366
100090199,123.2942314,52.53545968,1663.31,15.03,-25.82,101.48,326.45,16.23,0.8775,0.11,0,0,0.0125,1.859,753.87,5.428,119.15
100090200,123.5775286,52.51047742,1588.33,14.76,-24.21,101.82,333.46,15.8,0.78,0.1975,0,0,0.0225,1.692,712.797,5.304,137.152
100090201,123.8606079,52.48497042,1587.61,15.16,-23.74,101.33,330.89,16.19,0.915,0.085,0,0,0,1.63,712.254,5.367,132.959
100090202,124.1434547,52.45894762,1615.12,15.51,-24.06,100.38,327.57,16.97,0.915,0.085,0,0,0,1.676,747.129,5.429,120.699
100090203,124.4260666,52.43238396,1604.99,16.11,-23.17,100.1,320.56,16.37,0.98,0.0175,0,0,0.0025,1.843,752.399,5.687,118.801
100090204,124.7084489,52.40533863,1634.53,16.64,-23.36,99.56,315.52,16.79,0.8325,0.0825,0.0125,0.0275,0.045,1.945,790.262,5.81,114.462
100090205,124.9905899,52.37774522,1647.29,16.89,-23.41,98.77,312.48,17.05,0.94,0.03,0.0025,0,0.0275,1.936,779.898,5.794,109.211
100090206,125.2724813,52.34966565,1648.1,17.16,-23.17,97.8,310.25,18.24,0.8825,0.065,0,0,0.0525,1.959,814.562,5.81,99.504
100090207,125.5541268,52.32104984,1661.41,17.39,-23.28,97.68,308.08,18.32,0.8225,0.04,0.01,0,0.1275,1.795,842.074,5.92,97.78
100090208,125.8355325,52.29194842,1678.36,17.62,-23.46,97.27,305.31,18.25,0.5275,0.05,0.085,0,0.3375,1.624,890.138,6.078,96.407
100090209,126.1166775,52.26230363,1664.43,17.64,-23.11,97.23,308.15,17.94,0.6975,0.0125,0.0975,0,0.1925,1.787,875.084,5.974,89.09
100100190,120.7350611,52.56533752,1701.57,15.54,-26.09,109.02,291.02,11.34,0.9048,0.0403,0,0,0.0549,1.78,818.5,5.865,122.44
100100191,120.9887057,52.53238212,1614.06,14.05,-25.53,107.1,318.09,12.28,0.8725,0.0925,0,0,0.035,1.831,758.445,5.481,125.869
100100192,121.2728116,52.51167083,1630.93,13.98,-26.02,105.79,322.18,13.18,0.8775,0.0925,0,0,0.03,1.996,772.16,5.348,128.198
100100193,121.5567378,52.49041828,1664.58,14.41,-26.43,105.33,317.6,13.25,0.9575,0.0375,0,0,0.005,1.934,775.92,5.418,117.614
100100194,121.8404803,52.46864218,1641.66,14.57,-25.68,104.46,319.27,14.17,0.9325,0.06,0,0,0.0075,1.881,762.331,5.418,117.821
100100195,122.1240229,52.44635837,1649.78,14.36,-26.14,103.83,324.24,14.4,0.895,0.0775,0,0,0.0275,1.832,757.66,5.328,122.146
100100196,122.4073613,52.42355048,1674.32,14.61,-26.53,103.74,322.83,14.7,0.7975,0.1925,0,0,0.01,1.848,777.133,5.346,118.885
100100197,122.6905071,52.40020555,1637.05,14.43,-25.85,103.45,329.22,14.57,0.7375,0.205,0,0,0.0575,1.799,751.598,5.259,127.225
100100198,122.973442,52.37636719,1613.51,14.29,-25.37,103.36,336.36,15.12,0.71,0.2525,0,0,0.0375,1.888,726.813,5.387,132.987
100100199,123.2561533,52.35198305,1585.01,14.08,-24.86,102.88,343.87,15.44,0.7475,0.2175,0,0,0.035,1.771,706.757,5.283,146.031
100100200,123.5386592,52.32709654,1567.89,14.63,-23.83,102.5,338.1,16.05,0.855,0.1425,0,0,0.0025,1.691,735.348,5.45,141.028
100100201,123.8209492,52.30170185,1600.79,15.38,-23.82,101.71,328.24,15.68,0.905,0.085,0.0025,0,0.0075,1.521,760.762,5.552,125.615
100100202,124.1030118,52.27578565,1640.6,16,-24.17,100.86,320.97,16.18,0.905,0.08,0,0,0.015,1.583,787.253,5.647,118.118
100100203,124.3848405,52.2493442,1607.83,15.94,-23.43,101.61,326.45,15.17,0.96,0.0375,0,0,0.0025,1.677,744.175,5.599,126.6
100100204,124.6664409,52.2223948,1632.09,16.47,-23.47,100.4,319.61,16.38,0.9025,0.0525,0.015,0,0.03,1.804,791.328,5.714,108.39
100100205,124.9477946,52.19491501,1599.49,16.05,-23.11,99.52,328,16.99,0.965,0.025,0,0,0.01,1.63,715.202,5.496,115.615
100100206,125.2289206,52.16694804,1609.78,16.68,-22.72,98.84,320.01,17.34,0.8925,0.0375,0.0025,0,0.0675,1.801,791.317,5.686,101.539
100100207,125.5097935,52.13844865,1630.65,17.15,-22.77,98.23,313.12,17.32,0.7375,0.0325,0.005,0,0.225,1.94,822.243,5.783,97.258
100100208,125.7904162,52.10944978,1649.16,17.5,-22.9,97.7,309.2,17.67,0.48,0.095,0.085,0.0025,0.3375,1.909,886.106,5.876,87.507
100100209,126.0707846,52.07994138,1676.51,17.79,-23.27,97.92,305.97,17.81,0.495,0.0325,0.055,0,0.4175,1.77,911.134,6.005,79.092
100100210,126.343958,52.05294996,1675.26,17.95,-23.08,98.5,306.83,16.48,0.809,0.0265,0.0371,0,0.1247,1.688,902.77,6.065,80.752
100110190,120.731866,52.36414451,1641.82,15.12,-25.12,108.76,299.32,11.59,0.8465,0.0558,0,0,0.093,1.727,792.247,5.847,133.316
100110191,120.9572103,52.34838618,1615.8,14.57,-24.99,108.33,310.94,11.43,0.8325,0.045,0,0,0.1225,1.861,767.717,5.741,124.051
100110192,121.2405215,52.32774811,1658.33,14.59,-26.05,107.92,314.02,12.03,0.9625,0.0275,0,0,0.01,1.807,782.063,5.617,122.254
100110193,121.5236493,52.3066112,1664.55,14.31,-26.56,105.61,321.19,13.22,0.89,0.095,0,0,0.015,1.769,754.232,5.5,119.824
100110194,121.8065799,52.28490889,1618.83,14.13,-25.56,105.39,327.15,13.92,0.915,0.0675,0,0,0.0175,1.821,744.982,5.504,122.412
100110195,122.0893301,52.26271765,1688.15,14.65,-26.8,104.33,321.24,14.71,0.91,0.055,0.0025,0,0.0325,1.878,779.701,5.576,111.542
100110196,122.3718869,52.24000084,1669.5,14.4,-26.63,104.78,328.79,14.11,0.8775,0.1125,0,0,0.01,1.783,768.658,5.368,120.963
100110197,122.6542303,52.21676958,1632.82,13.81,-26.35,104.44,341.26,14.33,0.69,0.22,0,0,0.09,1.909,738.243,5.194,132.246
100110198,122.9363721,52.19301256,1597.6,14.21,-25.01,103.9,341.32,15.25,0.8,0.17,0,0,0.03,1.953,746.529,5.437,134.085
100110199,123.2183087,52.16872686,1596.97,14.66,-24.48,103.32,337.6,15.45,0.9,0.0725,0,0,0.0275,1.716,747.168,5.524,135.593
100110200,123.5000272,52.14393971,1614.72,15.25,-24.31,102.62,329.55,15.75,0.88,0.085,0,0.0075,0.0275,1.628,765.004,5.642,123.403
100110201,123.7815271,52.11863757,1622.96,15.58,-24.19,102.87,325.69,14.98,0.875,0.115,0.005,0.0025,0.0025,1.569,767.156,5.587,122.463
100110202,124.0628042,52.09282131,1594.18,15.24,-23.86,102.59,335.34,14.94,0.8925,0.095,0,0,0.0125,1.561,723.11,5.377,132.664
100110203,124.3438543,52.06650672,1569.17,15.5,-22.95,102.91,335.76,14.71,0.92,0.0625,0,0,0.0175,1.729,713.156,5.444,138.919
100110204,124.6246728,52.03964995,1603.4,16.11,-23.14,101.27,328.57,15.9,0.935,0.04,0.0025,0,0.0225,1.809,744.444,5.619,115.579
100110205,124.9052559,52.01229664,1583.05,15.98,-22.81,101.43,331.67,14.99,0.94,0.06,0,0,0,1.809,712.104,5.523,129.93
100110206,125.1855994,51.98443281,1589.04,16.59,-22.31,100.28,323.17,16.02,0.9175,0.015,0,0,0.0675,1.83,774.541,5.737,115.866
100110207,125.4656989,51.9560594,1615.41,17.06,-22.5,99.02,317.33,16.8,0.6575,0.0275,0.04,0,0.275,1.93,834.849,5.749,106.022
100110208,125.7455505,51.92717734,1622.71,17.37,-22.38,98.92,313.73,16.61,0.725,0.035,0.0025,0,0.2375,1.955,846.438,5.761,98.196
100110209,126.02515,51.89778761,1636.57,17.66,-22.43,99.53,309.96,15.58,0.8575,0.0125,0.01,0,0.12,1.972,855.232,5.883,101.269
100110210,126.3043942,51.86784655,1656.89,17.92,-22.69,99.88,307.86,15.54,0.78,0.0225,0.0025,0,0.195,1.836,837.062,5.912,93.461
100120191,120.9258942,52.16461612,1663.33,15.23,-25.53,109.48,301.5,10.98,0.92,0.04,0,0,0.04,1.743,838.656,5.823,119.259
100120192,121.2084093,52.14406248,1622.05,14.57,-25.16,108.65,316.07,11.02,0.9575,0.0275,0,0,0.015,1.736,762.63,5.683,122.627
100120193,121.4907419,52.12300594,1620.05,14.14,-25.58,106.24,325.9,13.67,0.89,0.065,0,0,0.045,1.798,741.674,5.528,125.022
100120194,121.7728851,52.101414,1663.57,14.76,-26.02,106.25,318.96,13.27,0.905,0.0475,0.0025,0,0.045,1.742,768.908,5.668,116.241
100120195,122.054844,52.07928867,1697.63,14.81,-26.86,105.65,321.41,14.13,0.915,0.0575,0.0075,0.0175,0.0025,1.74,777.857,5.662,112.668
100120196,122.3366042,52.05666225,1656.84,14.26,-26.44,105.28,334.36,14.28,0.8925,0.0975,0,0,0.01,1.799,756.974,5.469,123.608
100120197,122.6181661,52.03354007,1615.65,13.67,-26.06,105.24,347.17,14.13,0.79,0.1875,0,0,0.0225,1.931,746.521,5.308,134.083
100120198,122.8995213,52.00986129,1582.68,13.83,-25.06,104.97,350.9,14.43,0.6975,0.235,0,0,0.0675,1.884,724.416,5.303,142.152
100120199,123.1806697,51.98568835,1559.09,14.51,-23.68,103.9,343.05,15,0.87,0.115,0,0,0.015,1.618,735.15,5.551,142.362
100120200,123.4616056,51.96100152,1596.18,15.08,-24.02,103.83,335.15,14.77,0.89,0.085,0,0.0025,0.02,1.543,756.178,5.638,130.854
100120201,123.7423247,51.93580165,1599.94,14.9,-24.34,103.33,339.75,15.13,0.89,0.1025,0,0.0025,0.0025,1.568,738.82,5.454,130.522
100120202,124.0228229,51.91008957,1578.59,14.6,-24.18,103.27,347.82,15.26,0.735,0.21,0,0,0.055,1.736,726.887,5.241,139.878
100120203,124.3030959,51.88386616,1533.68,14.98,-22.59,102.99,346.32,15.41,0.8375,0.1575,0,0,0.005,1.783,724.879,5.487,143.086
100120204,124.5831395,51.85713229,1605.48,15.89,-23.42,101.86,333.62,15.78,0.8975,0.09,0.0075,0,0.005,1.761,755.768,5.609,115.368
100120205,124.8629495,51.82988886,1544.78,15.3,-22.57,102.68,343.61,14.81,0.895,0.1,0,0,0.005,1.785,703.39,5.453,137.072
100120206,125.1425219,51.80213678,1555.07,16.23,-21.86,101.8,331,14.95,0.95,0.0075,0,0,0.0425,1.822,754.072,5.685,125.525
100120207,125.4218524,51.77387696,1591.74,16.7,-22.28,100.39,324.21,16,0.8125,0.0325,0.0075,0,0.1475,1.813,802.375,5.668,108.862
100120208,125.700937,51.74511036,1585.96,17.05,-21.79,99.96,321.48,16.07,0.8925,0.02,0,0,0.0875,1.898,815.553,5.725,109.354
100120209,125.9797716,51.71583791,1622.44,17.58,-22.17,100.32,314.78,14.71,0.8275,0.035,0.015,0,0.1225,1.901,846.55,5.854,104.143
100120210,126.2583521,51.68606057,1622.39,17.73,-22.01,100.62,313.26,14.25,0.85,0.015,0.005,0,0.13,1.904,849.978,5.849,104.76
100120211,126.5360603,51.6554617,1657.95,18.16,-22.46,100.3,308.64,14.18,0.635,0.0275,0.135,0,0.2025,1.802,892.152,6.032,98.959
100130191,120.894756,51.98106723,1653.7,15.21,-25.37,109.39,304.7,10.96,0.8125,0.1075,0,0,0.0775,1.768,817.548,5.827,119.764
100130192,121.1764794,51.96059701,1634.94,14.69,-25.37,107.32,315.41,12.6,0.9275,0.0425,0,0,0.03,1.76,764.469,5.728,117.623
100130193,121.4580222,51.93960949,1652.53,14.82,-25.7,107.26,316.9,12.41,0.88,0.0875,0,0,0.0325,1.809,767.652,5.704,114.387
100130194,121.7393882,51.9181268,1603.42,14.03,-25.31,107.36,332.43,13.2,0.8225,0.14,0,0,0.0375,1.781,741.078,5.41,128.722
100130195,122.0205485,51.89608544,1642.54,14.26,-26.07,106.95,332.27,13.33,0.855,0.1225,0.0025,0,0.02,1.809,758.602,5.556,124.151
100130196,122.3015233,51.87355039,1633.87,13.96,-26.21,106.7,341.38,13.6,0.685,0.2875,0,0,0.0275,1.864,756.95,5.335,128.189
100130197,122.582298,51.85050512,1619.93,13.46,-26.38,106.3,353.26,13.47,0.4275,0.32,0,0,0.2525,1.965,760.805,5.189,137.565
100130198,122.8628746,51.82694621,1574.88,13.52,-25.19,106.31,359.84,14.06,0.5875,0.24,0,0,0.1725,1.872,745.722,5.374,146.952
100130199,123.1432432,51.80286232,1545.21,13.96,-23.93,104.99,354.02,14.41,0.85,0.125,0.005,0,0.02,1.687,731.706,5.417,144.689
100130200,123.4234007,51.77827464,1560.09,14.47,-23.78,104.74,348.52,14.65,0.725,0.2475,0,0.0025,0.025,1.659,742.193,5.522,136.303
100130201,123.7033433,51.75317582,1587.69,14.55,-24.43,104.08,348.51,15.17,0.795,0.1625,0.005,0.005,0.0325,1.703,743.335,5.354,133.118
100130202,123.9830668,51.7275667,1538.75,14.35,-23.41,104.19,354.81,15.52,0.805,0.1675,0,0,0.0275,1.758,724.859,5.388,137.635
100130203,124.262567,51.70144814,1540.76,15.22,-22.5,103.33,344.09,15.43,0.9025,0.08,0,0,0.0175,1.812,766.593,5.61,126.684
100130204,124.5418397,51.674821,1603.91,15.88,-23.41,102.29,333.96,15.71,0.9,0.0625,0.01,0,0.0275,1.798,789.719,5.671,114.785
100130205,124.8208808,51.64768616,1558.1,15.46,-22.72,102.86,342.56,15.77,0.93,0.0525,0.005,0,0.0125,1.766,737.659,5.576,124.051
100130206,125.0996859,51.62005995,1549.29,15.83,-22.12,102.26,340.94,15.65,0.87,0.02,0,0,0.11,1.703,778.109,5.785,120.244
100130207,125.3782449,51.59189829,1559.84,16.4,-21.82,101.63,330.98,15.35,0.7825,0.0225,0,0,0.195,1.783,792.542,5.73,118.684
100130208,125.6565756,51.56324968,1590.2,16.96,-22.02,101.25,325.03,15.21,0.645,0.0325,0.13,0,0.1925,1.848,848.116,5.805,110.579
100130209,125.9346473,51.53408794,1575.45,17.07,-21.52,101.01,324.84,14.73,0.78,0.04,0.01,0,0.17,1.929,824.554,5.786,115.746
100130210,126.2124691,51.50442832,1620.37,17.52,-22.19,100.36,318.25,15.63,0.4925,0.0475,0.02,0,0.44,1.991,855.542,5.868,93.556
100130211,126.490035,51.47426659,1620.63,17.7,-22,100.57,317.1,14.82,0.3025,0.0925,0.02,0,0.585,1.914,873.553,5.935,95.878
100130212,126.7359578,51.43586055,1623.38,17.98,-21.79,100.48,316.12,14.9,0.478,0.0644,0.0034,0,0.4305,1.831,866.199,5.895,99.645
100140190,120.5934439,51.80876367,1592.94,15.02,-24.11,111.25,306.07,9.78,0.9048,0.0476,0,0,0.0476,1.748,784.883,5.792,129.377
