Gridcode,bio4,bio10,bio11,bio15,bio16,bio17,forest,grassland,farmland,urban,barren,sand,BD,PH,OC
100080194,1616.2,18.43,-22.9,99.4,335.04,18.84,1,0,0,0,0,1.844,769.605,5.536,113.7
100080195,1621.04,18.71,-22.74,99.35,335.1,18.35,1,0,0,0,0,1.687,770.97,5.575,113.445
100080196,1618.62,18.55,-22.82,99.1,340.75,18.55,1,0,0,0,0,1.583,763.869,5.493,115.738
100080197,1615.09,18.48,-22.78,99.05,345.55,18.45,1,0,0,0,0,1.695,767.682,5.445,114.819
100080198,1609.57,18.43,-22.69,99.2,349.16,18,1,0,0,0,0,1.742,773.086,5.474,113.454
100080199,1598.93,17.71,-23.16,99,365.6,18.4,1,0,0,0,0,1.618,738.534,5.301,128.051
100080200,1597.48,18.33,-22.49,99.05,357.6,18,1,0,0,0,0,1.78,711.838,5.52,132.442
100080201,1597.12,19.04,-21.79,98.9,348.3,18,0.985,0.0025,0,0.0125,0,1.694,729.237,5.503,120.537
100080202,1593.38,18.44,-22.32,98.85,363.55,18.05,0.9925,0.0025,0,0.005,0,1.6,727.69,5.321,126.809
100080203,1595.98,18.94,-21.92,98.88,359.76,18.04,0.99,0,0,0.01,0,1.575,726.861,5.608,126.045
100080204,1599.51,19.04,-21.93,98.2,363.25,19.2,0.995,0,0,0.005,0,1.602,731.903,5.685,121.701
100080205,1604.35,19.71,-21.4,97.65,355.45,19.8,1,0,0,0,0,1.819,791.514,5.796,109.042
100080206,1609.67,19.93,-21.38,96.95,357.7,21,0.97,0,0,0.03,0,1.865,826.06,5.845,102.945
100080207,1615.67,20.16,-21.3,96.44,360,21.12,0.9925,0,0.0075,0,0,1.804,881.584,5.933,101.615
100080208,1622.38,20.53,-21.16,96,360.25,21.15,0.9825,0,0.0125,0.005,0,1.691,888.121,5.977,96.809
100080209,1626.71,20.8,-20.98,96.25,360.63,21.06,1,0,0,0,0,1.661,884.918,5.994,93.752
100090188,1572.88,18.6,-21.67,102.09,314.18,18.64,1,0,0,0,0,1.721,786.352,5.806,129.581
100090189,1571.49,17.7,-22.51,101.2,332.7,19.7,1,0,0,0,0,1.778,772.024,5.745,134.673
100090190,1580.46,17.98,-22.47,101.13,331.13,19.44,1,0,0,0,0,1.824,794.681,5.725,125.79
100090191,1585.99,17.78,-22.79,100.44,336.56,19.56,1,0,0,0,0,1.749,802.712,5.645,119.491
100090192,1585.51,16.6,-23.94,100,358.81,20.31,0.995,0,0,0,0,2.005,745.131,5.367,122.782
100090193,1597.41,17.41,-23.44,100,348.13,19.94,1,0,0,0,0,1.945,756.834,5.482,125.457
100090194,1608.76,18.23,-22.91,99.8,338.95,19.1,1,0,0,0,0,1.815,763.726,5.55,115.783
100090195,1610.21,18.06,-23.11,99.25,346.31,19.63,1,0,0,0,0,1.685,753.955,5.433,121.423
100090196,1608.72,17.85,-23.26,99.13,353.5,20.19,1,0,0,0,0,1.746,770.548,5.36,120.843
100090197,1607.73,18.03,-23.06,99.44,354.25,19.13,1,0,0,0,0,1.752,776.718,5.438,114.171
100090198,1602.19,17.9,-23.05,99.6,360.65,18.6,1,0,0,0,0,1.848,750.312,5.386,126.366
100090199,1597.02,17.91,-22.91,99.88,364.25,18.19,1,0,0,0,0,1.859,753.87,5.428,119.15
100090200,1592.43,17.78,-22.93,99.75,370.56,18.38,1,0,0,0,0,1.692,712.797,5.304,137.152
100090201,1590.91,17.99,-22.71,99.94,370.25,18.06,1,0,0,0,0,1.63,712.254,5.367,132.959
100090202,1591.19,18.24,-22.48,99.81,370.13,18,1,0,0,0,0,1.676,747.129,5.429,120.699
100090203,1594.43,18.87,-21.96,99.25,363.95,18.25,1,0,0,0,0,1.843,752.399,5.687,118.801
100090204,1598.59,19.48,-21.49,99,358,19,0.91,0.0025,0.005,0.0825,0,1.945,790.262,5.81,114.462
100090205,1603.18,19.96,-21.16,98.63,354.94,19.06,0.985,0.0025,0.01,0.0025,0,1.936,779.898,5.794,109.211
100090206,1607.42,20.14,-21.09,97.81,356.81,20.13,0.98,0,0.0075,0.0125,0,1.959,814.562,5.81,99.504
100090207,1613.62,20.41,-21.02,97.25,358.55,21,0.97,0.0075,0.015,0.0075,0,1.795,842.074,5.92,97.78
100090208,1620.16,20.68,-20.94,96.88,359.44,21,0.91,0.07,0.02,0,0,1.624,890.138,6.078,96.407
100090209,1624.34,20.63,-21.13,97,365.19,21,1,0,0,0,0,1.787,875.084,5.974,89.09
100100190,1584.48,18.55,-22.01,101.58,322.25,18.42,1,0,0,0,0,1.78,818.5,5.865,122.44
100100191,1579.49,16.95,-23.43,100.94,350.63,19.88,0.995,0,0,0,0,1.831,758.445,5.481,125.869
100100192,1584.43,16.76,-23.75,100.38,356.75,20.06,0.9875,0,0,0,0,1.996,772.16,5.348,128.198
100100193,1593.54,17.44,-23.3,100,347.88,20,1,0,0,0,0,1.934,775.92,5.418,117.614
100100194,1599.72,17.63,-23.26,100,348.85,19.8,1,0,0,0,0,1.881,762.331,5.418,117.821
100100195,1600.71,17.41,-23.53,99.81,357.56,20.69,1,0,0,0,0,1.832,757.66,5.328,122.146
100100196,1602.83,17.71,-23.28,99.63,356.5,20.25,1,0,0,0,0,1.848,777.133,5.346,118.885
100100197,1599.68,17.48,-23.39,100,364.75,19.56,1,0,0,0,0,1.799,751.598,5.259,127.225
100100198,1595.58,17.44,-23.34,100,369.95,18.85,1,0,0,0,0,1.888,726.813,5.387,132.987
100100199,1588.61,16.82,-23.8,100,386.38,19.63,1,0,0,0,0,1.771,706.757,5.283,146.031
100100200,1589.75,17.64,-23.03,100.25,375.25,18.38,1,0,0,0,0,1.691,735.348,5.45,141.028
100100201,1589.81,18.13,-22.52,100.38,370.31,18,1,0,0,0,0,1.521,760.762,5.552,125.615
100100202,1591.52,18.74,-21.99,100.38,363.63,18,1,0,0,0,0,1.583,787.253,5.647,118.118
100100203,1593.29,19.04,-21.76,100.1,363.35,18.45,1,0,0,0,0,1.677,744.175,5.599,126.6
100100204,1596.4,19.53,-21.37,99.69,359.94,19,0.96,0,0.01,0.03,0,1.804,791.328,5.714,108.39
100100205,1596.51,19.04,-21.91,99.25,374.75,19.5,1,0,0,0,0,1.63,715.202,5.496,115.615
100100206,1602.75,19.78,-21.36,98.88,366.81,19.38,1,0,0,0,0,1.801,791.317,5.686,101.539
100100207,1609.41,20.11,-21.23,98.2,366.5,20.6,1,0,0,0,0,1.94,822.243,5.783,97.258
100100208,1616.6,20.56,-20.99,97.63,363.25,20.81,0.97,0,0.01,0.02,0,1.909,886.106,5.876,87.507
100100209,1622.36,20.83,-20.91,97.44,362.38,20.56,0.9825,0.0025,0.0125,0.0025,0,1.77,911.134,6.005,79.092
100100210,1626.41,21.01,-20.84,97.81,363.63,19.5,0.992063,0.005291,0.002646,0,0,1.688,902.77,6.065,80.752
100110190,1579.42,17.93,-22.5,101.45,333.18,19.09,1,0,0,0,0,1.727,792.247,5.847,133.316
100110191,1578.43,17.16,-23.23,101.19,348,19.75,1,0,0,0,0,1.861,767.717,5.741,124.051
100110192,1585.89,17.44,-23.11,100.88,345.69,19.88,1,0,0,0,0,1.807,782.063,5.617,122.254
100110193,1588.52,17.21,-23.42,100.63,352.44,19.94,1,0,0,0,0,1.769,754.232,5.5,119.824
100110194,1590.82,17.05,-23.63,100.15,358.9,20.25,1,0,0,0,0,1.821,744.982,5.504,122.412
100110195,1597.28,17.57,-23.28,100.06,355.13,20.13,1,0,0,0,0,1.878,779.701,5.576,111.542
100110196,1595.57,17.29,-23.5,100,364.44,20.44,1,0,0,0,0,1.783,768.658,5.368,120.963
100110197,1589.57,16.69,-23.94,100.06,379.56,20.06,1,0,0,0,0,1.909,738.243,5.194,132.246
100110198,1589.44,17.17,-23.46,100.45,375.8,19.2,1,0,0,0,0,1.953,746.529,5.437,134.085
100110199,1588.54,17.58,-23.04,100.75,373.94,18.56,1,0,0,0,0,1.716,747.168,5.524,135.593
100110200,1588.96,18.14,-22.53,101,369.06,18.06,0.9825,0,0.005,0.0125,0,1.628,765.004,5.642,123.403
100110201,1589.88,18.64,-22.06,101,364.25,17.88,0.99,0,0,0.01,0,1.569,767.156,5.587,122.463
100110202,1587.47,18.34,-22.29,101.13,374.13,18.19,1,0,0,0,0,1.561,723.11,5.377,132.664
100110203,1588.29,18.4,-22.29,100.7,377.95,18.9,1,0,0,0,0,1.729,713.156,5.444,138.919
100110204,1592.95,19.24,-21.61,100.25,369.38,19,0.9775,0,0,0.0225,0,1.809,744.444,5.619,115.579
100110205,1594.07,18.98,-21.92,100,379.44,19.06,1,0,0,0,0,1.809,712.104,5.523,129.93
100110206,1598.81,19.58,-21.47,99.75,373.63,19.13,1,0,0,0,0,1.83,774.541,5.737,115.866
100110207,1605.72,20.14,-21.11,99.3,369.05,19.1,1,0,0,0,0,1.93,834.849,5.749,106.022
100110208,1612.2,20.52,-20.93,98.81,366.31,19.19,0.9975,0,0,0.0025,0,1.955,846.438,5.761,98.196
100110209,1618.01,20.78,-20.84,98.94,364.88,18.19,1,0,0,0,0,1.972,855.232,5.883,101.269
100110210,1623.98,21.06,-20.74,98.75,363,17.44,1,0,0,0,0,1.836,837.062,5.912,93.461
100120191,1582.96,18.29,-22.24,102,329.45,18.6,1,0,0,0,0,1.743,838.656,5.823,119.259
100120192,1581.87,17.53,-22.94,101.35,344.35,19.7,1,0,0,0,0,1.736,762.63,5.683,122.627
100120193,1581.73,16.92,-23.54,101,357.7,20,1,0,0,0,0,1.798,741.674,5.528,125.022
100120194,1590.06,17.7,-22.96,100.96,348.64,19.96,1,0,0,0,0,1.742,768.908,5.668,116.241
100120195,1593.18,17.78,-22.98,100.8,352.05,19.9,0.9775,0,0.01,0.0125,0,1.74,777.857,5.662,112.668
100120196,1587.92,16.99,-23.62,100.55,369.9,20,1,0,0,0,0,1.799,756.974,5.469,123.608
100120197,1583.38,16.5,-23.98,100.85,383.95,20,1,0,0,0,0,1.931,746.521,5.308,134.083
100120198,1581.94,16.78,-23.68,101,384.52,19.64,0.9975,0,0,0,0,1.884,724.416,5.303,142.152
100120199,1583.07,17.52,-22.98,101.65,377.35,18.5,0.9975,0,0,0,0,1.618,735.15,5.551,142.362
100120200,1585.71,18.21,-22.37,102.05,370.2,17.85,0.9825,0.0025,0.0075,0.0075,0,1.543,756.178,5.638,130.854
100120201,1581.64,17.8,-22.67,101.8,382.35,18.25,1,0,0,0,0,1.568,738.82,5.454,130.522
100120202,1579.47,17.51,-22.93,101.4,392.1,19.1,1,0,0,0,0,1.736,726.887,5.241,139.878
100120203,1582.34,17.96,-22.57,101.32,389.72,19.2,1,0,0,0,0,1.783,724.879,5.487,143.086
100120204,1587.43,18.98,-21.71,101.05,378.3,19.05,0.9725,0,0.0025,0.025,0,1.761,755.768,5.609,115.368
100120205,1587.03,18.23,-22.5,100.65,397.45,19.6,1,0,0,0,0,1.785,703.39,5.453,137.072
100120206,1594.7,19.34,-21.63,100.65,383.15,19.05,1,0,0,0,0,1.822,754.072,5.685,125.525
100120207,1599.98,19.77,-21.35,100.32,379.92,19.12,1,0,0,0,0,1.813,802.375,5.668,108.862
100120208,1606.09,20.19,-21.11,100.05,376.1,18.7,0.98,0,0,0.02,0,1.898,815.553,5.725,109.354
100120209,1612.34,20.7,-20.77,100.05,369.45,17.2,0.985,0,0.01,0.005,0,1.901,846.55,5.854,104.143
100120210,1618.59,20.94,-20.75,99.85,367.6,17,0.9975,0,0,0.0025,0,1.904,849.978,5.849,104.76
100120211,1621.99,21.31,-20.47,99.45,363.4,17,0.9525,0.01,0.0275,0.01,0,1.802,892.152,6.032,98.959
100130191,1579.97,18.16,-22.3,102.19,332.19,18.81,1,0,0,0,0,1.768,817.548,5.827,119.764
100130192,1579.29,17.64,-22.79,101.69,343,19.56,1,0,0,0,0,1.76,764.469,5.728,117.623
100130193,1582.83,17.83,-22.69,101.56,342.56,19.44,1,0,0,0,0,1.809,767.652,5.704,114.387
100130194,1580.37,16.97,-23.45,101.05,360.7,20.6,0.995,0,0,0,0,1.781,741.078,5.41,128.722
100130195,1583.52,17.16,-23.35,101.19,362.75,20.06,1,0,0,0,0,1.809,758.602,5.556,124.151
100130196,1581.14,16.81,-23.63,101.13,373.88,19.75,0.995,0,0,0,0,1.864,756.95,5.335,128.189
100130197,1577.28,16.38,-23.96,101.06,386.5,20,0.99,0.0025,0,0,0,1.965,760.805,5.189,137.565
100130198,1575.73,16.45,-23.86,101.65,392.45,19.85,0.985,0,0,0,0,1.872,745.722,5.374,146.952
100130199,1576.06,16.87,-23.44,102,391.69,19.25,1,0,0,0,0,1.687,731.706,5.417,144.689
100130200,1577.79,17.57,-22.8,102.44,384.63,18.63,0.995,0,0,0.005,0,1.659,742.193,5.522,136.303
100130201,1575.09,17.39,-22.96,102.31,392.88,19.06,0.985,0,0,0.015,0,1.703,743.335,5.354,133.118
100130202,1573.62,17.31,-23.03,102.13,399.69,19.44,1,0,0,0,0,1.758,724.859,5.388,137.635
100130203,1578.58,18.31,-22.16,102.15,387.7,19,0.96,0.0025,0.005,0.0325,0,1.812,766.593,5.61,126.684
100130204,1582.16,18.92,-21.67,102,383.69,19,0.985,0,0.0025,0.0125,0,1.798,789.719,5.671,114.785
100130205,1583.15,18.48,-22.16,101.75,397.44,19.06,1,0,0,0,0,1.766,737.659,5.576,124.051
100130206,1586.59,18.73,-22.02,101.5,398.19,19.13,1,0,0,0,0,1.703,778.109,5.785,120.244
100130207,1593.13,19.56,-21.4,101.1,388.05,19,1,0,0,0,0,1.783,792.542,5.73,118.684
100130208,1599.93,20.19,-20.98,101,380.44,18.06,0.995,0,0,0.005,0,1.848,848.116,5.805,110.579
100130209,1604.53,20.26,-21.02,101,381.94,17.38,0.9925,0,0,0.0075,0,1.929,824.554,5.786,115.746
100130210,1609.15,20.73,-20.71,100.38,375.88,17,0.9975,0,0.0025,0,0,1.991,855.542,5.868,93.556
100130211,1610.56,20.99,-20.49,99.94,374.94,17,1,0,0,0,0,1.914,873.553,5.935,95.878
100130212,1606.51,21.44,-19.96,99.19,376.25,17.75,0.993311,0,0.006689,0,0,1.831,866.199,5.895,99.645
100140190,1573.38,18.01,-22.31,102.33,334.2,19,1,0,0,0,0,1.748,784.883,5.792,129.377
100140191,1576.88,18.09,-22.29,102.38,334.31,18.88,1,0,0,0,0,1.76,805.114,5.815,128.768
100140192,1579.06,17.9,-22.53,102.13,339.13,19.31,1,0,0,0,0,1.742,785.147,5.835,119.067
100140193,1574.74,17.01,-23.31,101.31,356.06,20.5,0.9975,0,0,0,0,1.702,737.7,5.522,124.826
100140194,1576.94,16.98,-23.35,101.45,360.45,20.5,1,0,0,0,0,1.891,750.699,5.561,126.381
100140195,1576.81,16.86,-23.48,101.63,367.81,20.25,0.98,0.0175,0,0.0025,0,1.823,767.358,5.563,123.916
100140196,1574.7,16.58,-23.71,101.56,378.25,19.94,0.9925,0,0,0,0,1.914,763.075,5.318,132.476
100140197,1571.14,16.17,-24.02,101.88,391.38,20.19,0.995,0,0,0,0,1.95,755.789,5.24,144.927
100140198,1571.1,16.48,-23.72,102.2,393.05,19.8,1,0,0,0,0,1.757,759.05,5.368,149.563
100140199,1572.66,17.14,-23.11,102.75,388.69,19.06,1,0,0,0,0,1.653,754.937,5.555,147.235
100140200,1573.15,17.51,-22.76,102.88,387.81,18.94,0.995,0,0,0.005,0,1.691,759.824,5.579,133.693
100140201,1569.67,17.09,-23.11,103,401.5,19.63,0.985,0,0,0,0,1.675,697.726,5.267,150.617
100140202,1571.46,17.69,-22.58,102.88,396.31,19.06,1,0,0,0,0,1.649,715.197,5.439,139.419
100140203,1574.28,18.3,-22.09,102.95,392.85,19.05,0.9775,0.0025,0,0.02,0,1.695,746.993,5.601,131.802
100140204,1575.82,18.34,-22.09,102.75,398.5,19,1,0,0,0,0,1.684,714.584,5.5,136.247
100140205,1579.06,18.65,-21.88,102.44,398.63,19,1,0,0,0,0,1.724,749.63,5.669,126.083
100140206,1583.68,19.15,-21.53,102.06,394.56,19,1,0,0,0,0,1.745,838.325,5.926,112.386
100140207,1589.1,19.86,-21,101.7,386.45,18.8,1,0,0,0,0,1.813,878.791,5.857,112.805
100140208,1594.16,20.21,-20.81,101.69,384.69,17.44,1,0,0,0,0,1.875,875.203,5.846,112.429
100140209,1596.17,20.26,-20.83,101.25,387,17.19,1,0,0,0,0,1.796,873.013,5.858,104.811
100140210,1600.01,20.64,-20.57,101,382.88,17,0.995,0,0.005,0,0,1.766,869.479,5.878,91.449
100140211,1599.75,20.95,-20.28,100.5,381.94,17,0.9925,0,0.0075,0,0,1.81,886.379,5.996,82.627
100140212,1597.27,21.52,-19.63,99.67,379.61,17.22,0.991826,0,0.00545,0,0,1.635,915.285,6.061,76.385
100150189,1570.33,18.11,-22.14,103.18,333.24,18.76,1,0,0,0,0,1.781,786.364,5.828,120.809
100150190,1567.51,17.28,-22.9,102.31,347.69,19.88,1,0,0,0,0,1.778,749.928,5.746,121.405
100150191,1574.73,18.08,-22.24,102.75,334.69,18.69,1,0,0,0,0,1.818,798.047,5.836,127.426
100150192,1575.63,17.84,-22.52,102.56,340.19,19.13,1,0,0,0,0,1.872,799.612,5.83,115.862
100150193,1570.46,16.69,-23.51,101.44,361.44,20.88,0.995,0,0,0,0,1.767,735.255,5.526,132.311
100150194,1574.9,17.26,-23.04,102.15,355.75,20.1,1,0,0,0,0,1.949,782.739,5.732,121.182
100150195,1572.48,16.88,-23.33,102.13,367.06,20.31,1,0,0,0,0,1.745,753.684,5.494,127.394
100150196,1568.64,16.48,-23.65,102.13,380.19,20.13,1,0,0,0,0,1.894,790.106,5.534,124.706
100150197,1566.26,16.27,-23.79,102.31,390.25,20.19,0.9975,0,0,0,0,1.811,741.286,5.389,142.747
100150198,1566.64,16.7,-23.38,102.95,390.55,19.8,1,0,0,0,0,1.747,778.146,5.528,138.623
100150199,1565.38,16.88,-23.19,103.06,395.06,19.63,1,0,0,0,0,1.712,722.488,5.366,150.93
100150200,1565.98,17.28,-22.81,103.5,394.13,19.31,1,0,0,0,0,1.808,729.269,5.463,134.826
100150201,1564.38,17.06,-23,103.06,404.75,19.5,1,0,0,0,0,1.712,713.387,5.368,145.833
100150202,1566.83,17.76,-22.39,103.44,398.56,19.06,1,0,0,0,0,1.882,735.936,5.605,138.666
100150203,1569.3,18.2,-22.08,103.6,398.65,19.05,1,0,0,0,0,1.876,737.325,5.634,137.167
100150204,1570.61,18.22,-22.08,103.13,404.81,19,1,0,0,0,0,1.784,724.117,5.603,142.627
100150205,1575.48,18.98,-21.49,103,396.81,19,1,0,0,0,0,1.868,841.648,5.896,117.904
100150206,1579.66,19.61,-21.01,102.94,390.63,19,1,0,0,0,0,1.89,841.665,5.884,116.022
100150207,1584.24,20.12,-20.64,102.85,386.4,17.95,1,0,0,0,0,1.841,886.694,5.871,111.885
100150208,1587.76,20.31,-20.54,102.63,387.06,17.19,1,0,0,0,0,1.952,877.657,5.853,107.448
100150209,1589.24,20.51,-20.39,102.19,386.69,17,0.9925,0,0.0025,0.005,0,1.733,859.813,5.869,108.054
100150210,1590.23,20.56,-20.42,101.56,390.19,17,0.985,0,0.015,0,0,1.65,888.941,5.927,103.013
100150211,1588.85,20.87,-20.08,101,389.56,17,0.99,0.0025,0.0075,0,0,1.69,872.938,5.932,81.031
100150212,1585.8,21.43,-19.46,100.3,387.4,17.05,0.9875,0,0.005,0,0,1.732,893.5,5.942,76.032
100150213,1581.36,22.03,-18.74,99.71,385.57,17.43,0.986239,0.004587,0.009174,0,0,1.573,922.295,6.034,81.359
100160189,1569.87,18.3,-21.99,103.55,332.2,18.4,1,0,0,0,0,1.779,850.065,5.969,105.403
100160190,1566.06,17.49,-22.65,103,344.19,19.5,1,0,0,0,0,1.824,797.397,5.818,115.16
100160191,1566.96,17.33,-22.82,102.69,347.81,19.81,0.9975,0,0,0.0025,0,1.762,728.838,5.688,131.727
100160192,1570.64,17.62,-22.62,102.56,343.81,19.56,0.9975,0,0,0.0025,0,1.892,751.441,5.73,125.104
100160193,1567.3,16.79,-23.33,102,359.5,20.63,0.9975,0,0,0.0025,0,1.812,757.828,5.562,131.8
100160194,1568.55,16.87,-23.27,102.3,361.5,20.55,0.9825,0.0025,0,0.015,0,1.911,772.727,5.689,125.077
100160195,1566.06,16.59,-23.48,102.19,372,20.88,1,0,0,0,0,1.818,758.606,5.408,128.975
100160196,1564.84,16.68,-23.35,102.56,376.56,20.44,1,0,0,0,0,1.783,735.029,5.344,133.699
100160197,1561.76,16.5,-23.46,102.88,387,20.06,1,0,0,0,0,1.803,738.34,5.362,141.316
100160198,1562.86,17.16,-22.84,103.35,383.65,19.35,0.9975,0,0,0.0025,0,1.819,764.419,5.672,131.614
100160199,1556.74,16.44,-23.4,103.38,404.81,19.75,0.9975,0,0,0.0025,0,1.803,721.678,5.586,144.895
100160200,1558.58,17.08,-22.83,104,400.56,19.31,0.9925,0,0,0,0,1.803,724.088,5.517,142.508
100160201,1559.84,17.33,-22.63,104.06,402.63,19.19,1,0,0,0,0,1.833,729.425,5.611,146.6
